Title,Author,Price
Mr. Baldwin Explains and Other Dream Interviews,Peter Ibbetson,US$ 16.87
Country Notes in Wartime,V. Sackville-West,US$ 76.16
The Course of English Classicism,"Vines, S",US$ 3.41
Collected Poems,C DayLewis,US$ 45.25
Castles in the air : the story of my singing days,Viola Tree,US$ 19.39
Phases of English Poetry,"Read,H",US$ 2.59
Goodbye to Berlin.,Isherwood (Christopher),"US$ 1,939.49"
O Providence,"HAMPSON, JOHN.",US$ 250.00
BETWEEN THE ACTS,"WOOLF, Virginaia.",US$ 84.04
"TOLSTOI'S LOVE LETTERS, WITH A STUDY ON THE AUTOBIOGRAPHICAL ELEMENTS IN TOLSTOI'S WORK","TOLSTOI / TOLSTOY Paul Biryukov, Virginia Woolf, S",US$ 323.25
Jacob's Room,Virginia Woolf,US$ 38.79
To The Lighthouse,Virginia Woolf,US$ 64.65
Hogarth Living Poets No 24: New Signatures,"Michael Roberts (editor), W H Auden, Julian Bell, Stephen Spender et al",US$ 60.77
THE WAVES,"Woolf, Virgina",US$ 150.00
Antiquarian Prejudice,"BETJEMAN, John",US$ 65.00
The Ego and the Id,"Freud, Sigmund",US$ 850.00
THE JUDGEMENT OF FRANCOIS VILLON. A Pageant-Episode Play In Five Acts inscribed and signed by Palmber #157,"Palmer, Herbert Edward",US$ 230.00
PHAROS AND PHARILLON,"Forster, E. (Edward) M. (Morgan)",US$ 275.00
Collected poems - Vol 1 [All published],"Sackville-West, V. (Victoria) (1892-1962)",US$ 360.36
A broadcast anthology of modern poetry / edited by Dorothy Wellesley,"Wellesley, Dorothy (1889-1956)",US$ 53.22
Collected poems - Vol 1 [All published],"Sackville-West, V. (Victoria) (1892-1962)",US$ 340.00
A broadcast anthology of modern poetry / edited by Dorothy Wellesley,"Wellesley, Dorothy (1889-1956)",US$ 57.46
The Ego and the Id,"Freud, Sigmund","US$ 1,167.57"
The Years,Virginia Woolf,US$ 36.20
Kew Gardens.,"Woolf, Virginia","US$ 6,500.00"
On Being Ill.,"Woolf, Virginia","US$ 7,000.00"
A LECTURE ON LECTURES: INTRODUCTORY VOLUME.,"QUILLER-COUCH, Arthur.",US$ 36.20
Mrs. Dalloway,"WOOLF, Virginia (1882-1941)",US$ 252.13
Orlando. A Biography,"WOOLF, Virginia (1882-1941)",US$ 323.25
Night and Day,"WOOLF, Virginia (1882-1941)",US$ 381.43
A Room Of One's Own.,"WOOLF, Virginia.",US$ 45.00
Reviewing,"Woolf, Virginia; with A Note by Leonard Woolf",US$ 8.00
"The Edwardians , by V. Sackville-West, published by Leonard & Virginia Woolf (1.edition)","Sackville - West, Vita",US$ 53.22
Three Guieas,Virginia Woolf,US$ 19.39
"The ""Dreadnought"" Hoax","Stephen, Adrian",US$ 96.97
Stravinsky's Sacrifice To Apollo,Eric Walter White,US$ 13.19
Selected Poems (Volume 2),"Lewis, C. D.",US$ 33.50
Jacob's Room,"Woolf, Virginia",US$ 60.00
Mr. Norris Changes Trains,"Isherwood, Christopher",US$ 21.11
Three Guineas,"Woolf, Virginia",US$ 232.74
An Autobiographical Study. Authorized Translation by James Strachey.,"FREUD, Sigmund.","US$ 2,909.23"
A Childhood,"ALLINSON, Francesca; MARX, Enid (dust jacket design & wood engravings)",US$ 323.25
A Letter to a Young Poet: The Hogarth Letters No. 8,Virginia Woolf,US$ 45.00
ORLANDO: A Biography (First edition - first impression),Virginia Woolf,US$ 323.25
Talks with Tolstoi. Translated by S.S. Koteliansky and Virginia Woolf,"GOLDENVEIZER, A.B.",US$ 122.83
Walter Sickert: A Conversation,"WOOLF, Virginia",US$ 275.00
Homage to John Dryden : three essays on poetry of the seventeenth century,T S Eliot (Thomas Stearns),US$ 45.00
Anonymity An Enquiry,"Forster, E.M.",US$ 100.00
England's Pleasant Land. A Pageant Play,"Forster, E.M.",US$ 125.00
Passenger to Teheran,V. Sackville-West,US$ 45.25
The Diary Of Montaigne's Journey To Ital.,Michel de Montaigne,US$ 27.04
Night and Day,Virginia Woolf,US$ 90.51
A Room of One's Own,Virginia Woolf,US$ 581.85
Flush: A Biography,Virginia Woolf,US$ 63.36
The Voyage Out,Virginia Woolf,US$ 381.43
A Room of One's Own,Virginia Woolf,US$ 381.43
The Waves,Virginia Woolf,US$ 426.69
Solitude. A Poem.,"SACKVILLE-WEST, V.:",US$ 42.67
Sissinghurst,Sackville-West (Vita),"US$ 1,066.72"
Poems.,Prewett (Frank),"US$ 1,163.69"
Requiem and Other Poems,Rainer Maria Rike,US$ 10.34
Later Poems,Rainer Maria Rike,US$ 12.93
A Room of One's Own,Woolf (Virginia),"US$ 2,598.91"
The Edwardians,V Sackville-West,US$ 86.63
All Passion Spent,"SACKVILLE-WEST, V[ita]",US$ 137.50
"The Horrors of the Countryside. [Day to Day Pamphlets, No. 3.]",Joad (C.E.M.),US$ 38.79
A Sampler of Castile,"Fry, Roger",US$ 232.74
Flush: A Biography,"Woolf, Virgina",US$ 32.53
The Years,Virginia Woolf,US$ 549.52
Orlando: A Biography,Virginia Woolf,US$ 840.44
Flush: A Biography,Virginia Woolf,US$ 504.27
The Amberley Papers: the letters and diaries of Lord and Lady Amberley. Volume One (1) ONLY,AMBERLEY) Bertrand and Patricia Russell (eds),US$ 16.81
"Selected Poems (The New Hogarth Library, Volume 1)","Plomer, William",US$ 51.72
On Being Ill,"WOOLF, Virginia","US$ 9,500.00"
Poems.,"BELL, Clive.",US$ 323.25
Kew Gardens,"WOOLF, Virginia","US$ 1,700.00"
The Years,"Woolf, Virginia",US$ 775.79
Cézanne: A Study of his Development,"FRY, Roger (1866-1934)",US$ 96.97
THREE GUINEAS. Signed by Virginia Woolf,"Woolf, Virginia","US$ 14,800.00"
Jacob's Room,"Woolf, Virginia","US$ 2,262.73"
"The Artist and Psycho-Analysis. The Hogarth Essays (First Series), No. 2.","FRY, ROGER.",US$ 49.13
The Edwardians.,"SACKVILLE-WEST, V.",US$ 16.17
Homage to John Dryden (The Hogarth Essays),"Eliot, (T. S.)",US$ 64.65
Anonymity (The Hogarth Essays),"Forster, (E. M.)",US$ 51.72
Tribune Of Rome A Biography Of Cola Di Rienzo,Iris Origo,US$ 142.23
"ORLANDO with a Pasted in image of Vita Sackville-West, Virginia Woolf and Old Newspaper Clipping about her Suicide.",VIRGINIA WOOLF,US$ 355.57
Mutations of the Phoenix. INSCRIBED BY THE AUTHOR.,"(READ, Herbert.)","US$ 3,878.97"
THE YEARS,VIRGINIA WOOLF,US$ 355.57
Goodbye to Berlin,"Isherwood, Christopher:",US$ 13.56
"New Introductory Lectures On Psycho-analysis (The International Psycho-analytical Library, No. 24)",Sigmund Freud,US$ 15.42
The Meaning of Sacrifice [International Psycho-Analyticalal Library No. 16],"Money-Kyrle, R.",US$ 55.00
The Hogarth Letters,Various,US$ 258.60
A Room Of One's Own,"Woolf, Virginia",US$ 64.65
A Room of One's Own,"Woolf, Virginia",US$ 63.08
REVIEWING,Virginia Woolf,US$ 10.34
Funeral March of a Marionette,"BUCHAN, Susan",US$ 40.00
THE LEGEND OF MONTE DELLA SIBILLA OR LE PARADIS DE LA REINE SIBILLE,"BELL, Clive",US$ 378.00
Selected Poems :The New Hogarth Library Vol. 2,C.Day Lewis,US$ 12.60
ROCHESTER: A CONVERSATION BETWEEN SIR GEORGE ETHEREGE AND MR FITZ JAMES. (SIGNED),"DOBREE, Bonamy.",US$ 77.58
The Years,"Woolf, Virginia","US$ 2,000.00"
Flush. A Biography,"WOOLF, Virginia (1882-1941)",US$ 323.25
The Common Reader Second Series,Virginia Woolf,US$ 13.63
Jacob's Room,"Woolf, Virginia",US$ 362.04
"Flush. A Biography [First Edition, October 1933]","Woolf, Virginia:",US$ 149.69
The Dark Island,"SACKVILLE-WEST, V.",US$ 200.00
Homage to John Dryden,"Eliot, T. S.",US$ 62.06
To the Lighthouse,"Woolf, Virginia",US$ 775.79
Very early reprint of a room of ones own Woolf 1931,Virginia Woolf,US$ 58.00
The Prospects of Literature,Logan Pearsall Smith,US$ 12.93
"Tolstoy, Chekhov and Andreev (Translated by Katherine Mansfield and Leonard Woolf)","Gorky, Maxim",US$ 55.11
Collected Poems,V. Sackville-West,US$ 58.18
COMMON READER Second Series,"Woolf, Virginia",US$ 50.00
Flush,"Woolf, Virginia",US$ 116.37
Flush: A Biography,"Woolf, Virginia",US$ 387.90
Danger Zones of Europe A study of National Minorities,"STEPHENS, John S.",US$ 36.20
THE PASSING OF GUTO AND OTHER POEMS,"Menai, Huw [(pseud of Huw Owen Williams]",US$ 100.00
LIONS AND SHADOWS - An Education in the Twenties (First edition - first state dustwrapper),Christopher Isherwood,US$ 323.25
Collected Poems. Volume One.,"Sackville-West, Vita:",US$ 25.86
Pepita,"Sackville-West, V.",US$ 19.39
THE DEVELOPMENT OF ENGLISH BIOGRAPHY,"Nicolson, Harold",US$ 40.67
SEDUCERS IN ECUADOR (First edition in near fine condition),Vita Sackville-West,US$ 323.25
"REMINISCENCES OF TOLSTOY, CHEKHOV AND ANDREEV - AUTHORISED TRANSLATION FROM THE RUSSIAN BY KATHERINE MANSFIELD, S.S. KOTELIANSKY AND LEONARD WOOLF","GORKY, MAXIM",US$ 58.18
Parallax,Nancy Cunard,US$ 750.00
Roger Fry: A Biography.,Virginia Woolf.,US$ 32.32
Orlando: A Biography.,Virginia Woolf.,US$ 193.95
Roger Fry: A Biography,"Woolf, Virginia",US$ 32.32
Selected Poems. New Hogarth Library Volume III.,"Rainer Maria Rilke, (trans.) J. B. Leishman",US$ 12.29
Funeral March of a Marionette,Susan Buchan,US$ 116.37
THE SATYRICON OF PETRONIUS ARBITER In the Translation Attributed to Oscar Wilde,"Arbiter, Petronius & Oscar Wilde",US$ 58.00
Goodbye to Berlin,"Isherwood, Christopher","US$ 3,000.00"
Goodbye To Berlin,Christopher Isherwood,US$ 368.50
On Marxism To-Day,"Dobb, Maurice",US$ 27.72
ALL PASSION SPENT signed by VSW,"Sackville-West, V. (Vita)","US$ 2,100.00"
Homage to John Dryden,"Eliot, T.S.",US$ 187.48
"The Ego and the Id [First Edition, First Printing]","Freud, Sigmund; Riviere, Joan",US$ 710.00
SOLITUDE: A POEM.,"Sackville-West, V.",US$ 8.54
A Letter to Madan Blanchard The Hogarth Press Letters No. 1. Composed from and based upon the journals and communications of Captain Henry Wilson who in August 1873 was shipwrecked in the western part of the Pacific Ocean.,E.M. Forster,US$ 19.39
Poems And Plays,Harindranath Chattopadhyaya,US$ 18.09
FIRST POEMS,"MUIR, Edwin",US$ 213.34
The Close Chaplet.,"RIDING, Laura, as Laura Riding Gottschalk.","US$ 3,878.97"
"A Letter to a Young Poet [Hogarth Letters Series, No. 8]","Woolf, Virginia",US$ 45.00
Three Guineas,"WOOLF, Virginia",US$ 77.58
"Hogarth Living Poets N°13. Cambridge Poetry, 1930",John Davenport; Hugh Skyes; Michael Redgrave (editors),US$ 10.00
The Common Reader,"Woolf, Virginia",US$ 50.00
Jacob's Room,"Woolf, Virginia",US$ 750.00
Walter Sickert: A Conversation.,"WOOLF, Virginia.","US$ 2,262.73"
Walter Sickert - A Conversation,"WOOLF, Virginia (on Walter Sickert, cover design by Vanessa Bell)",US$ 135.76
Allegra,"Origo, Iris",US$ 25.86
The Gentleman from San Francisco and Other Stories. Translated from the Russian by S. S. Koteliansky and Leonard Woolf.,"BUNIN, I. A.",US$ 387.90
Letters Of Stephen Reynolds,Harold Wright (Editor),US$ 53.08
Mrs. Dalloway : The Uniform Edition With The Publisher's Flyer For The Uniform Edition,"Woolf, Virginia","US$ 1,099.04"
COLLECTED POEMS Volume One,"Sackville-West, V. (Vita)",US$ 330.00
Roger Fry - A Biography.,"WOOLF, Virginia.",US$ 614.17
The Waves.,"WOOLF, Virginia.","US$ 2,909.23"
The Backward Son - A Novel.,"SPENDER, Stephen.",US$ 226.27
Poems.,"HOGARTH PRESS. LEE, Christopher.",US$ 226.27
Poets of Tomorrow - Second selection - Cambridge Poetry 1940.,HOGARTH PRESS. Various authors.,US$ 58.18
To the Lighthouse,"Woolf, Virginia","US$ 1,500.00"
A Letter to a Young Poet,"Woolf, Virginia",US$ 50.00
The Mark on the Wall,"Woolf, Virginia",US$ 681.29
A Room of One's Own,Virginia Woolf,US$ 155.16
"JOAN OF ARC. [World-Makers & World-Shakers Series,]","Sackville-West, Vita",US$ 250.00
Why the German Republic Fell : and Other Studies of the Causes and Consequences of Economic Inequality,Arthur Wilhelm Madsen (ed),US$ 18.92
A Room of One's Own,Virginia Woolf,US$ 64.65
I SPEAK OF AFRICA signed,William Plomer [Roger Senhouse],"US$ 1,250.00"
DIFFERENT DAYS,"Cornford, Frances. Edited by Dorothy Wellesley",US$ 250.00
Roger Fry : A Biography : First printing : No jacket,"Woolf, Virginia",US$ 103.38
The Years,Virginia Woolf,"US$ 1,157.23"
"THE NEW REALISM, A DISCUSSION. Hogarth Sixpenny Pamphlets, Number Two. [No. 2.]","Spender, Stephen.",US$ 28.00
THE WAVES,VIRGINIA WOOLF,US$ 355.57
A Letter to W B Yeats,(Yeats). L A G Strong,US$ 25.86
A Letter to an M.P. on Disarmament.,"CECIL, Robert, Lord Cecil.",US$ 193.95
Poems,"Allott, Kenneth",US$ 32.32
The Writings of E. M. Forster,"Macaulay, Rose",US$ 35.00
THE EDWARDIANS. Signed,"Sackville-West, Vita",US$ 700.00
"THE BRONTES - THEIR LIVES RECORDED BY THEIR CONTEMPORARIES, COMPILED WITH AN INTRODUCTION BY E.M. DELAFIELD","DELAFIELD, E.M.",US$ 58.18
Composition as Explanation (Hogarth Essays),"Stein, Gertrude",US$ 95.00
The Common Reader. Second Series,"WOOLF, Virginia",US$ 161.62
The Gentleman From San Francisco: And Other Stories Ivan Bunin 2nd Ed 1934,"BUNIN, Ivan.",US$ 28.45
A Lewtter to a Young Poet,"Woolf, Virginia",US$ 38.95
The Hotel. A Play,"WOOLF, Leonard (1880-1969)",US$ 64.65
Adventure And Other Papers,Fridtjof Nansen,US$ 23.80
BETWEEN THE ACTS,"WOOLF, Virginia",US$ 630.00
The Edwardians,V Sackville-West:,US$ 32.32
JACOB'S ROOM,"WOOLF, Virginia","US$ 1,890.00"
Flush A Biography,"Woolf, Virginia",US$ 19.39
Goodbye To Berlin,Christopher Isherwood,US$ 51.08
ORLANDO A BIOGRAPHY,"WOOLF, Virginia","US$ 1,680.00"
The Hoax. Translated.with an introduction by Beryl de Zoete,"Svevo, Italo",US$ 247.06
Senlin : A Biography,Conrad Aiken,US$ 58.18
The Memorial. Portrait of a Family.,"ISHERWOOD, Christopher.",US$ 969.74
What I Believe- Hogarth Sixpenny Pamphlet No 1,E M Forster,US$ 32.32
England's Pleasant Land. A Pageant Play.,E M Forster,US$ 32.32
The Years,"WOOLF, Virginia",US$ 387.90
POEMS.,"ALLOTT, Kenneth.",US$ 77.58
The Edwardians,V. Sackville-West,US$ 12.97
Sally Bowles,"Isherwood, Christopher",US$ 125.00
King's Daughter. Hogarth Living Poets: No. 11,"Sackville-West, V.",US$ 39.99
"THE WHIRLIGIG OF TASTE [HOGARTH LECTURES ON LITERATURE, FIRST SERIES, NO. 8]","KELLETT, E. E.",US$ 47.00
REMINISCENCES OF A STUDENT'S LIFE,"HARRISON, Jane Ellen",US$ 79.00
A Letter To Madan Blanchard,E M Forster,US$ 12.93
A Letter To A Young Poet,Virginia Woolf,US$ 45.25
Sonnets to Orpheus,Rainer Maria Rilke,US$ 51.72
ANTIQUARIAN PREJUDICE. [HOGARTH SIXPENNY PAMPHLETS NUMBER THREE],"BETJEMAN, John",US$ 42.00
REVIEWING WITH A NOTE BY LEONARD WOOLF [HOGARTH SIXPENNY PAMPHLETS NUMBER FOUR],"WOOLF, Virginia",US$ 79.00
Three Guineas,"Woolf, Virginia",US$ 381.43
"THE STRUCTURE OF WUTHERING HEIGHTS BY C. P. S. THE HOGARTH ESSAYS, FIRST SERIES NO. XIX","[BRONTË, Charlotte]: [Sanger], C. P. S.",US$ 158.00
Stavrogin's Confession and The Plan of the Life of a Great Sinner,"Fyodor Dostoevsky, Virginia Woolf",US$ 175.00
Kew Gardens [Design Binding],"Woolf, Virginia; Bell, Vanessa [illus]; Fletcher, Erin [binder]","US$ 8,500.00"
"ANONYMITY AN EQUIRY. THE HOGARTH ESSAYS, FIRST SERIES, NO. XII","FORSTER, E. M.",US$ 126.00
"COMPOSITION AS EXPLANATION [THE HOGARTH ESSAYS, SECOND SERIES, I.]","STEIN, Gertrude",US$ 173.00
Anonymity An Enquiry,E.M. Forster,US$ 46.55
WALTER SICKERT: A CONVERSATION,"[SICKERT, Walter]: WOOLF, Virginia",US$ 158.00
Kew Gardens,Virginia Woolf,"US$ 7,757.95"
The Marionette.,Edwin Muir,US$ 17.55
Sonnets to Orpheus,"Rainer Maria Rilke, with an english translation, introduction & notes by J. B. Leishman",US$ 38.79
The Memorial: Portrait of a Family.,"Isherwood, Christopher","US$ 1,600.00"
The Edwardians,"Sackville-West, V.",US$ 12.93
Selected Poems of William Plomer (The New Hogarth Library Volume I),William Plomer,US$ 12.93
PARALLAX A HOGARTH PRESS UNICORN.,"CUNARD, Nancy","US$ 1,024.00"
A Childhood,"Allinson, Francesca",US$ 96.97
GOODBYE TO BERLIN.,"ISHERWOOD, CHRISTOPHER.",US$ 258.60
